name,Batting Average,conversion rate,weightage(1-5),score,Strike rate,conversion rate,weightage(1-5),score,Total Innings Batted,conversion rate,weightage(1-5),score,Total Innings Bowled,conversion rate,weightage(1-5),score,Economy,normalise,weightage(1-5),score,Bowling Strike Rate,conversion rate,weightage(1-5),score,final score,score %
RavindraJadeja,31.35294118,93.43623974,3,280.3087192,137.7260982,46.62080046,4,186.4832018,34,30,2,60,41,100,2,200,7.455882353,99.95092097,4,399.8036839,22.05405405,47.49034749,4,189.96139,1316.556995,69.29247342
AndreRussell,27.59259259,67.65607215,3,202.9682164,159.1880342,100,4,400,35,40,2,80,30,68.57142857,2,137.1428571,10.3236246,38.79559348,4,155.1823739,10.68571429,74.55782313,4,298.2312925,1273.52474,67.02761789
HardikPandya,30.96774194,90.79539388,3,272.3861817,130.4347826,28.48615551,4,113.944622,41,100,2,200,21,42.85714286,2,85.71428571,8.137432188,85.41669863,4,341.6667945,30.27272727,27.92207792,4,111.6883117,1125.400196,59.23158924
ShivamDube,32.31034483,100,3,300,145.9501558,67.07532098,4,268.3012839,34,30,2,60,6,0,2,0,12.14285714,0,4,0,0,100,4,400,1028.301284,54.12112021
KrunalPandya,17.72413793,0,3,0,118.9814815,0,4,0,38,70,2,140,36,85.71428571,2,171.4285714,7.453580902,100,4,400,28.29166667,32.63888889,4,130.5555556,841.984127,44.31495405
VenkateshIyer,28.11764706,71.25573634,3,213.767209,130.2452316,28.01471245,4,112.0588498,36,50,2,100,8,5.714285714,2,11.42857143,9.349593496,59.56705264,4,238.2682106,25,40.47619048,4,161.9047619,837.4276027,44.07513698
AbhishekSharma,24.83333333,48.7391647,3,146.2174941,136.4468864,43.4392003,4,173.7568012,31,0,2,0,13,20,2,40,8.48,78.11135354,4,312.4454141,25,40.47619048,4,161.9047619,834.3244714,43.91181428
DeepakHooda,19.85714286,14.62343803,3,43.87031408,127.9926335,22.41214785,4,89.64859138,37,60,2,120,10,11.42857143,2,22.85714286,8.904761905,69.05319865,4,276.2127946,42,0,4,0,552.5888429,29.08362331
,32.31034483,,,,159.1880342,,,,41,,,,41,,,,12.14285714,,,,42,,,,1900,
,17.72413793,,,,118.9814815,,,,31,,,,6,,,,7.453580902,,,,0,,,,0,
